name,LONDD,LATDD,pptcon,MAP,tmax_jan_a,MAT,altitude,tmin_july_,summer_rainfall
PRREPE,18.88917,-34.0955,42,720,26.2,16,56,6.7,40
PRREPE,19.14683,-33.16217,52,821,26.9,15.4,365,5.4,41
PRREPE,19.148,-33.14917,52,868,23,13.1,700,4,43
PRREPE,19.5125,-34.02867,33,415,29,16.7,427,5.7,45
PRREPE,18.41667,-33.55,52,403,27.8,16.9,137,6.2,19
PRREPE,18.48483,-33.58733,51,422,28,16.9,150,6,21
PRREPE,18.55,-33.555,52,491,29.9,17.3,198,5.7,23
PRREPE,18.48717,-33.53467,52,390,28.8,17.4,189,6.4,19
PRREPE,18.56667,-33.563,51,471,28.6,16.9,107,5.8,22
PRREPE,18.50867,-33.50767,53,575,28.8,17.6,244,7.1,28
PRREPE,19.15917,-33.06267,52,741,18.5,10.1,1380,1.4,37
PRREPE,20.705,-33.48833,22,384,25.1,14,829,2.9,34
PRREPE,20.72467,-33.50317,19,347,25.3,14.2,823,3,31
PRREPE,20.72683,-33.505,18,308,25.4,14.2,823,2.9,27
PRREPE,20.73017,-33.50817,18,308,25.4,14.2,823,2.9,27
PRREPE,20.73167,-33.51033,17,301,27.6,15.5,581,3.6,26
PRREPE,20.73283,-33.51167,17,301,27.6,15.5,581,3.6,26
PRREPE,20.73117,-33.51217,17,301,27.6,15.5,581,3.6,26
PRREPE,20.57,-33.52,29,322,23.7,13.2,896,2.3,32
PRREPE,20.62383,-33.5285,27,448,24.6,13.8,838,2.7,40
PRREPE,20.63383,-33.51983,26,362,24.5,13.7,838,2.7,31
PRREPE,20.63833,-33.5285,26,437,24.9,13.9,838,2.8,37
PRREPE,19.182,-34.2,39,902,26.2,15.9,274,6.5,55
PRREPE,19.17333,-34.2,39,978,26,15.4,274,5.8,65
PRREPE,19.17,-34.20183,39,978,26,15.4,274,5.8,65
PRREPE,19.16367,-34.20233,39,978,26,15.4,274,5.8,65
PRREPE,18.54583,-33.71667,51,422,28,16.8,122,6,23
PRREPE,18.54583,-33.71667,51,422,28,16.8,122,6,23
PRREPE,18.9595,-34.331,38,952,25.8,15.9,158,7,75
PRREPE,18.86667,-34.0595,43,549,26.3,16,73,6.6,26
PRREPE,18.871,-34.0415,44,697,26.5,16,762,7.2,39
PRREPE,18.87233,-34.045,44,829,26.4,16,94,6.6,44
PRREPE,18.85217,-34.0515,43,683,27,16.5,122,7,38
PRREPE,18.726,-33.99233,46,522,25.8,16.7,17,7.4,29
PRREPE,19.02267,-34.26667,39,1051,25.5,15.3,314,5.8,74
PRREPE,19.15717,-33.9025,47,866,23.5,13.8,771,4.2,60
PRREPE,19.15517,-33.895,47,866,23.5,13.8,771,4.2,60
PRREPE,19.15517,-33.895,47,866,23.5,13.8,771,4.2,60
PRREPE,19.15717,-33.8915,47,856,20.4,11.9,1148,3.1,56
PRREPE,19.162,-33.88517,46,883,18.5,10.8,1341,2.5,62
PRREPE,19.162,-33.88517,46,883,18.5,10.8,1341,2.5,62
PRREPE,19.162,-33.881,46,883,18.5,10.8,1341,2.5,62
PRREPE,19.16883,-33.8825,46,883,18.5,10.8,1341,2.5,62
PRREPE,19.17733,-33.887,47,838,18.1,10.5,1341,2.4,56
PRREPE,19.1735,-33.89317,47,868,23.4,13.7,717,4.3,69
PRREPE,19.162,-33.9,47,868,23.4,13.7,717,4.3,69
PRREPE,18.435,-33.984,45,1295,24.6,16.2,175,8.2,80
PRREPE,19.41667,-34.31133,37,472,27.3,16.6,152,6.5,31
PRREPE,19.6445,-34.43417,35,536,27.6,16.1,434,6.2,40
PRREPE,19.6475,-34.43333,35,536,27.6,16.1,434,6.2,40
PRREPE,19.6445,-34.43067,35,536,27.6,16.1,434,6.2,40
PRREPE,19.65267,-34.43017,35,536,27.6,16.1,434,6.2,40
PRREPE,19.65,-34.42617,35,536,27.6,16.1,434,6.2,40
PRREPE,19.644,-34.427,35,536,27.6,16.1,434,6.2,40
PRREPE,19.64233,-34.427,35,536,27.6,16.1,434,6.2,40
PRREPE,19.639,-34.427,35,560,28.4,16.8,166,5.8,40
PRREPE,19.6355,-34.43017,35,560,28.4,16.8,166,5.8,40
PRREPE,19.63083,-34.427,35,560,28.4,16.8,166,5.8,40
PRREPE,19.63883,-34.431,35,560,28.4,16.8,166,5.8,40
PRREPE,19.139,-34.37567,35,561,23.4,16,24,8.5,45
PRREPE,18.41333,-33.55267,52,403,27.8,16.9,137,6.2,19
PRREPE,18.407,-33.56217,52,443,26.6,16.5,58,6.2,21
PRREPE,18.42417,-33.54317,52,403,27.8,16.9,137,6.2,19
