name,LONDD,LATDD,pptcon,akocks,MAP,tmax_jan_a,MAT,frostdur,altitude,tmin_july_,summer_rainfall,mucina,goldblatt
ALC,26.09839,-33.24081,12.1,FALSE MACCHIA,429,27,16.7,31,792,4.7,90,Eastern Fynbos-Renosterveld Bioregion,SE
ANY,20.70409,-33.49369,15.6,FALSE MACCHIA,224,24.5,13.7,83,919,2.7,19,Western Fynbos-Renosterveld Bioregion,KM
BAN,18.64454,-32.72662,42.6,MACCHIA(FYNBOS),472,29.8,17.6,11,253,7.8,18,Northwest Fynbos Bioregion,NW
BAV,23.63356,-33.49336,5.7,MOUNTAIN RENOSTERBOSVELD,283,27.1,14.4,133,1087,1.1,59,Eastern Fynbos-Renosterveld Bioregion,SE
BRD,20.0386,-34.54593,21.4,MACCHIA(FYNBOS),476,27,16.9,79,107,6.6,51,Southwest Fynbos Bioregion,SW
CDB,19.10676,-32.4064,46.8,MACCHIA(FYNBOS),575,19.9,11.5,73,1282,2.8,17,Northwest Fynbos Bioregion,NW
CER,19.276,-33.36542,42,MACCHIA(FYNBOS),894,27.3,14.2,115,700,1.9,44,Northwest Fynbos Bioregion,NW
GAR,21.21982,-33.96789,0.5,FALSE MACCHIA,545,30.2,17,31,573,5,91,Southern Fynbos Bioregion,LB
KAR,24.07328,-33.87468,9.9,FALSE MACCHIA,580,27.9,17.2,17,371,5.8,104,Eastern Fynbos-Renosterveld Bioregion,SE
KLM,19.03363,-34.33109,30.5,MACCHIA(FYNBOS),746,23.7,15.6,18,29,7.6,55,Southwest Fynbos Bioregion,SW
KSW,21.28479,-33.45617,3.4,FALSE MACCHIA,348,28.4,16.1,42,750,5.2,42,Western Fynbos-Renosterveld Bioregion,KM
LOE,25.0423,-33.85452,4.3,FALSE MACCHIA,580,28.9,18.2,4,120,5.6,105,Alluvial Vegetation,SE
MGU,20.10137,-33.7839,28.4,KARROID BROKEN VELD,294,28.2,16,82,419,3.4,19,Southern Fynbos Bioregion,NW
POT,20.60545,-34.41555,15,COASTAL MACCHIA,409,28.5,17.3,98,180,6.3,42,South Coast Fynbos Bioregion,AP
RIV,18.55111,-33.51604,46.1,COASTAL RENOSTERBOSVELD,544,29.5,17.2,0,168,5.9,25,Southwest Fynbos Bioregion,SW
RND,19.99314,-34.10228,23.1,MACCHIA(FYNBOS),425,28.1,16.7,31,163,5.5,35,Southwest Fynbos Bioregion,SW
SWA,22.04591,-33.34953,19.5,FALSE MACCHIA,744,25.8,13.7,139,1128,-0.1,92,Western Fynbos-Renosterveld Bioregion,KM
UNI,23.05253,-33.72581,9.3,FALSE MACCHIA,487,23.9,14.1,83,867,3.7,62,Eastern Fynbos-Renosterveld Bioregion,SE
VAN,19.0225,-31.37083,44.3,MACCHIA(FYNBOS),394,30.8,17.5,36,790,5.8,9,Northwest Fynbos Bioregion,NW
