marker,right column,FST,outlierness,level
TP120430,1830,0.129,5.211,high
TP25826,526,0.207,5.253,high
TP21686,428,0.101,5.283,high
TP126842,1950,0.175,5.287,high
TP27702,559,0.096,5.398,high
TP116059,1738,0.161,5.474,high
TP86001,1331,0.124,5.499,high
TP22338,448,0.172,5.534,high
TP5360,135,0.125,5.539,high
TP125676,1930,0.177,5.561,high
TP106731,1587,0.104,5.562,high
TP107352,1607,0.191,5.614,high
TP106423,1574,0.146,5.62,high
TP106487,1581,0.143,5.626,high
TP74105,1215,0.147,5.685,high
TP53109,975,0.174,5.799,high
TP102527,1513,0.12,5.835,high
TP26219,533,0.181,5.863,high
TP6843,178,0.122,5.889,high
TP72084,1182,0.113,5.915,high
TP28028,566,0.168,5.92,high
TP72790,1203,0.097,5.994,high
TP5769,144,0.172,6.032,high
TP154,4,0.209,6.151,high
TP47613,915,0.215,6.189,high
TP23148,473,0.135,6.195,high
TP76679,1248,0.176,6.209,high
TP126833,1948,0.149,6.302,high
TP35474,736,0.145,6.33,high
TP69147,1126,0.127,6.332,high
TP18208,371,0.132,6.39,high
TP92890,1385,0.15,6.417,high
TP28894,598,0.126,6.435,high
TP29687,625,0.172,6.531,high
TP117236,1759,0.192,6.591,high
TP97877,1454,0.121,6.625,high
TP113298,1710,0.179,6.628,high
TP66072,1091,0.196,6.686,high
TP5509,137,0.149,6.748,high
TP125503,1921,0.135,6.787,high
TP94446,1415,0.166,6.836,high
TP62532,1052,0.194,6.857,high
TP18913,380,0.233,6.975,high
TP68336,1117,0.148,7.064,high
TP104628,1529,0.138,7.299,high
TP34609,730,0.196,7.301,high
TP27681,556,0.147,7.341,high
TP118592,1798,0.121,7.437,high
TP66681,1103,0.161,7.456,high
TP76683,1249,0.193,7.517,high
TP18922,381,0.157,7.544,high
TP110755,1672,0.176,7.545,high
TP6426,159,0.159,7.605,high
TP802,27,0.157,7.609,high
TP101550,1500,0.161,7.632,high
TP110396,1663,0.129,7.662,high
TP45274,864,0.204,7.666,high
TP86141,1335,0.243,7.705,high
TP63050,1061,0.206,7.752,high
TP113774,1720,0.134,7.813,high
TP21933,433,0.139,7.822,high
TP45308,866,0.227,7.851,high
TP71731,1172,0.133,8.038,high
TP19861,401,0.141,8.246,high
TP4902,127,0.168,8.287,high
TP693,24,0.154,8.294,high
TP6823,176,0.117,8.3,high
TP61998,1041,0.213,8.337,high
TP58501,1009,0.141,8.399,high
TP115089,1734,0.216,8.408,high
TP42220,806,0.207,8.628,high
TP23221,476,0.229,8.697,high
TP61016,1024,0.226,8.753,high
TP110946,1677,0.194,8.837,high
TP41851,801,0.217,8.868,high
TP30921,669,0.155,9.116,high
TP24385,503,0.181,9.216,high
TP28452,585,0.209,9.267,high
TP22611,454,0.228,9.347,high
TP41983,804,0.141,9.515,high
TP106421,1573,0.189,9.675,high
TP14233,288,0.191,9.726,high
TP118096,1786,0.191,9.836,high
TP49533,941,0.201,10.016,high
TP16421,342,0.167,10.205,high
TP64560,1070,0.217,10.224,high
TP37077,758,0.235,10.337,high
TP107186,1602,0.188,10.357,high
TP13397,274,0.152,10.374,high
TP109899,1655,0.195,11.209,high
TP121069,1837,0.226,11.213,high
TP30136,642,0.227,11.505,high
TP123991,1882,0.153,11.772,high
TP62888,1056,0.192,12.108,high
TP90434,1353,0.234,12.287,high
TP44050,837,0.185,13.097,high
TP47427,906,0.187,13.291,high
TP45722,881,0.207,13.584,high
TP7591,208,0.243,14.373,high
TP73795,1212,0.2,14.553,high
TP98026,1460,0.205,14.846,high
TP53294,978,0.228,15.799,high
TP80387,1302,0.241,15.946,high
TP116722,1747,0.3,16.171,high
TP99279,1473,0.244,17.993,high
TP124653,1900,0.209,19.851,high
TP66281,1093,0.239,20.589,high
TP114060,1725,0.219,20.83,high
TP123151,1868,0.212,21.079,high
TP65437,1084,0.012,5.121,low
TP101820,1502,0.009,5.132,low
TP30389,651,0.012,5.173,low
TP42729,814,0.009,5.219,low
TP127094,1956,0.015,5.225,low
TP113805,1722,0.009,5.34,low
TP124442,1893,0.01,5.423,low
TP39929,779,0.011,5.549,low
TP116492,1745,0.009,5.627,low
TP37899,765,0.008,5.762,low
TP111123,1680,0.007,6.158,low
TP39467,777,0.008,6.309,low
TP78403,1269,0.009,6.313,low
TP71720,1171,0.008,6.526,low
TP23301,480,0.008,6.894,low
TP6730,171,0.009,7.151,low
TP121320,1842,0.009,7.343,low
TP97002,1443,0.01,7.437,low
TP23393,482,0.008,7.506,low
TP68029,1114,0.007,7.535,low
TP105025,1540,0.007,7.677,low
TP49248,937,0.006,7.928,low
TP110505,1665,0.009,8.558,low
TP30865,667,0.006,9.505,low
TP113209,1707,0.006,10.542,low
TP109135,1628,0.004,10.852,low
TP62133,1046,0.005,11.68,low
TP125588,1924,0.006,11.987,low
TP109586,1649,0.004,16.289,low
TP2565,81,0.002,20.315,low
TP23117,470,0.003,21.239,low
TP92207,1373,0.002,27.246,low
TP86274,1337,0.002,28.201,low
TP40689,782,0.002,28.665,low
TP14803,303,0.002,29.127,low
TP92784,1383,0.001,32.238,low
TP298,13,0.001,36.145,low
TP74262,1223,0.001,38.991,low
TP105082,1541,0.001,40.771,low
TP98249,1463,0.001,40.892,low
TP126325,1945,0.001,42.812,low
TP28347,577,0.001,47.049,low
TP130812,2065,0.001,48.906,low
TP110229,1659,0.001,51.887,low
TP127290,1964,0.001,56.577,low
TP79352,1284,0.001,59.053,low
TP29470,617,0.001,59.842,low
TP62172,1048,0.001,65.445,low
TP123468,1871,0.001,65.917,low
TP62868,1055,0.001,66.331,low
TP32829,711,0.001,67.22,low
TP48203,926,0.001,74.007,low
TP106226,1565,0.001,79.679,low
TP20558,406,0,93.963,low
TP92776,1382,0,98.118,low
TP78188,1265,0,104.03,low
TP125769,1931,0,110.022,low
TP44461,846,0,112.136,low
TP42461,811,0,115.511,low
TP90670,1354,0,117.635,low
